step,it_per_sec
200,16.165151406425522
300,17.082511065026306
400,28.50569165291375
500,28.05286173205591
600,23.610861537089477
700,27.405200484068512
800,28.220302082829182
900,27.195452506968493
1000,28.138741348579543
1100,26.516300821017193
1200,24.271077417269048
1300,25.79353381843989
1400,25.543485333776992
1500,25.973636248048994
1600,26.485265341095023
1700,26.70148745698369
1800,23.459251188608572
1900,27.425603801459236
2000,26.933084631651752
2100,16.153400000664863
